Product,Predicted_Sales,Restock_Quantity
organic kala namk rice,37,44
Merger Fungicide,37,44
Apoorva Watermelon,35,42
Royal Bullet Chilli,35,42
Organic NPK 10-26-26,35,42
Taiyo Mango Protection,34,41
Mono Potassium Phosphate,34,41
"Wnature Organic Roasted, Coffee Beans",34,41
Potassium bicarbonate,33,40
TrustBasket Coconut Plant Fertilizer,33,40
Banana Bunch Cover,33,40
Magnesium Sulphate,32,38
NPK 14-35-14 for Plants,32,38
IFFCO NANO UREA,32,38
Moong Seeds,32,38
IFFCO NANO DAP,31,37
Urban Gardeners Ber seeds- Apple,31,37
Potassium Sulphate,31,37
Creative Farmer Orange Tree Fruit Seeds,30,36
Zotal-Ca (Chelated calcium),30,36
